R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
,,25048495349484952485451553 0:30:12 5:16:16,25048495349484953515348533 20:41:43 5:15:16,,,25048495349484952575165503 0:13:15 5:14:16,,25048495349484952575265533 20:31:17 5:13:16,,,24848484848515048545752653 4:57:37 5:17:16,24848484848515069526554553 17:35:4 5:14:16,,25048495349484952574965483 4:23:48 5:13:16,,25048495349484952565766563 23:39:30 5:12:16,,,24848484848515069526554553 16:53:20 5:17:16,,,,,25048495349484952565166503 4:53:43 5:17:16
,,25048495349484952485451553 0:30:12 5:16:16,25048495349484953515348533 20:41:43 5:15:16,,,25048495349484952565766563 0:13:23 5:14:16,,25048495349484952575265533 20:31:18 5:13:16,,,24848484848515048545752653 4:57:38 5:17:16,24848484848515069526554553 17:35:4 5:14:16,,25048495349484952574965483 4:23:49 5:13:16,,25048495349484952565766563 23:39:30 5:12:16,,,24848484848515069526554553 16:53:21 5:17:16,,,,,24848484848515069526554553 8:24:3 5:17:16
,,25048495349484952485451553 0:30:12 5:16:16,25048495349484953515348533 20:41:44 5:15:16,,,25048495349484952575165503 0:13:25 5:14:16,,25048495349484952575265533 20:31:35 5:13:16,,,24848484848515048545752653 4:57:38 5:17:16,24848484848515069526554553 17:35:4 5:14:16,,25048495349484952574965483 4:23:49 5:13:16,,25048495349484952565766563 23:39:31 5:12:16,,,25048495349484952495550543 0:19:37 5:18:16,,,,,24848484848515069526554553 8:24:4 5:17:16
,,25048495349484952485451553 0:41:23 5:16:16,25048495349484953515348533 20:42:40 5:15:16,,,25048495349484952575165503 0:13:31 5:14:16,,25048495349484952575265533 20:31:36 5:13:16,,,24848484848515048545752653 4:58:6 5:17:16,24848484848515069526554553 17:35:5 5:14:16,,25048495349484952574965483 4:23:50 5:13:16,,25048495349484952565766563 23:39:41 5:12:16,,,25048495349484952495550543 0:19:42 5:18:16,,,,,24848484848515069526554553 8:24:4 5:17:16
,,25048495349484952485451553 0:42:11 5:16:16,25048495349484952575065513 21:26:28 5:15:16,,,25048495349484952565766563 0:13:55 5:14:16,,25048495349484952494950483 0:10:51 5:14:16,,,24848484848515069526554553 8:53:49 5:17:16,24848484848515069526554553 17:35:6 5:14:16,,25048495349484952495650573 4:56:32 5:13:16,,25048495349484952565766563 23:39:43 5:12:16,,,25048495349484952495550543 0:19:54 5:18:16,,,,,New Recording Session
,,25048495349484952485451553 0:42:11 5:16:16,25048495349484952575065513 23:32:51 5:15:16,,,25048495349484952575165503 0:14:3 5:14:16,,25048495349484952494950483 0:10:51 5:14:16,,,24848484848515069526554553 8:53:50 5:17:16,25048495349484953515748573 20:34:37 5:14:16,,25048495349484953514948493 8:45:21 5:13:16,,25048495349484952565766563 23:39:43 5:12:16,,,25048495349484952495550543 0:19:55 5:18:16,,,,,24848484848515069526554553 16:28:50 5:17:16
,,25048495349484952485451553 0:42:12 5:16:16,25048495349484952495250533 0:43:38 5:16:16,,,25048495349484952565766563 0:14:23 5:14:16,,25048495349484952494950483 0:10:51 5:14:16,,,24848484848515069526554553 8:53:50 5:17:16,25048495349484953515748573 20:34:37 5:14:16,,25048495349484953514948493 8:45:22 5:13:16,,25048495349484952565766563 23:39:48 5:12:16,,,25048495349484952495550543 0:19:55 5:18:16,,,,,24848484848515069526554553 16:28:50 5:17:16
,,25048495349484952485451553 0:42:12 5:16:16,25048495349484952495250533 0:43:38 5:16:16,,,25048495349484952575165503 0:14:37 5:14:16,,25048495349484952494950483 0:10:52 5:14:16,,,,25048495349484953515748573 20:34:38 5:14:16,,New Recording Session,,25048495349484952565766563 23:39:49 5:12:16,,,25048495349484952495550543 0:19:55 5:18:16,,,,,25048495349484952565166503 20:24:3 5:17:16
,,25048495349484953515748573 1:3:17 5:16:16,25048495349484952495250533 0:43:51 5:16:16,,,25048495349484952575165503 0:14:43 5:14:16,,25048495349484952494950483 0:10:52 5:14:16,,,,24848484848515069526554553 8:58:40 5:15:16,,25048495349484953514948493 17:14:52 5:13:16,,25048495349484952565766563 23:39:49 5:12:16,,,25048495349484952495550543 0:23:59 5:18:16,,,,,24848484848515049484950513 20:28:29 5:17:16
,,25048495349484953515748573 1:4:2 5:16:16,25048495349484952495250533 4:49:6 5:16:16,,,25048495349484952565766563 0:14:44 5:14:16,,25048495349484952575265533 0:58:14 5:14:16,,,,24848484848515069526554553 8:58:41 5:15:16,,25048495349484953514948493 17:14:52 5:13:16,,25048495349484952565766563 23:40:15 5:12:16,,,25048495349484952495550543 0:24:0 5:18:16,,,,,24848484848515049484950513 20:28:30 5:17:16
,,25048495349484953515748573 1:4:37 5:16:16,25048495349484952495250533 4:49:6 5:16:16,,,25048495349484952575165503 0:14:52 5:14:16,,25048495349484952575265533 0:58:15 5:14:16,,,,24848484848515069526554553 8:58:41 5:15:16,,25048495349484953514948493 17:14:53 5:13:16,,25048495349484952565766563 23:40:16 5:12:16,,,25048495349484952495550543 0:24:0 5:18:16,,,,,24848484848515049484950513 20:28:30 5:17:16
,,25048495349484953515748573 1:4:40 5:16:16,25048495349484952575065513 5:0:27 5:16:16,,,25048495349484952565766563 0:15:0 5:14:16,,25048495349484952575265533 0:58:15 5:14:16,,,,24848484848515069526554553 8:58:42 5:15:16,,25048495349484953514948493 17:14:53 5:13:16,,25048495349484952565766563 23:40:16 5:12:16,,,25048495349484952495550543 0:24:1 5:18:16,,,,,24848484848515049484950513 20:28:31 5:17:16
,,25048495349484953515748573 1:4:41 5:16:16,25048495349484952575065513 5:0:27 5:16:16,,,25048495349484952565766563 0:15:19 5:14:16,,25048495349484952575265533 0:58:16 5:14:16,,,,24848484848515069526554553 8:58:42 5:15:16,,25048495349484952495650573 20:30:22 5:13:16,,25048495349484952565766563 23:40:35 5:12:16,,,25048495349484952495550543 1:45:8 5:18:16,,,,,25048495349484952565166503 20:41:14 5:17:16
,,25048495349484953515748573 1:5:20 5:16:16,25048495349484953484851483 8:53:12 5:16:16,,,25048495349484952565766563 0:15:26 5:14:16,,25048495349484952575265533 0:58:16 5:14:16,,,,New Recording Session,,25048495349484952495650573 20:30:22 5:13:16,,25048495349484952565766563 23:41:1 5:12:16,,,25048495349484952495550543 1:45:8 5:18:16,,,,,25048495349484952565166503 20:41:14 5:17:16
,,25048495349484953515748573 5:4:3 5:16:16,25048495349484953484851483 8:53:13 5:16:16,,,25048495349484952565766563 0:15:41 5:14:16,,25048495349484952575265533 0:58:16 5:14:16,,,,New Recording Session,,25048495349484952495650573 20:30:23 5:13:16,,25048495349484952565766563 23:41:1 5:12:16,,,25048495349484952495550543 1:45:8 5:18:16,,,,,25048495349484952565166503 21:11:22 5:17:16
,,25048495349484953515748573 5:4:31 5:16:16,25048495349484953484851483 8:53:13 5:16:16,,,25048495349484952575165503 0:15:53 5:14:16,,25048495349484953484851483 9:3:55 5:14:16,,,,New Recording Session,,25048495349484952495650573 20:30:23 5:13:16,,25048495349484952565766563 23:41:1 5:12:16,,,25048495349484952495250533 3:51:44 5:18:16,,,,,25048495349484952565166503 21:11:39 5:17:16
,,25048495349484953515748573 5:4:32 5:16:16,25048495349484953484851483 8:53:13 5:16:16,,,25048495349484952565766563 0:16:4 5:14:16,,25048495349484953484851483 9:3:55 5:14:16,,,,New Recording Session,,25048495349484952495650573 20:36:52 5:13:16,,25048495349484952565766563 23:41:12 5:12:16,,,25048495349484953514948493 7:30:21 5:18:16,,,,,25048495349484952565166503 21:33:59 5:17:16
,,25048495349484953514948493 8:32:54 5:16:16,25048495349484953484851483 8:53:14 5:16:16,,,25048495349484952565766563 0:16:14 5:14:16,,25048495349484953484851483 9:3:56 5:14:16,,,,24848484848515069526554553 17:6:37 5:15:16,,25048495349484952495650573 20:36:52 5:13:16,,25048495349484952565766563 23:41:13 5:12:16,,,25048495349484953514948493 7:30:22 5:18:16,,,,,25048495349484952565166503 21:34:46 5:17:16
,,25048495349484953514948493 8:32:55 5:16:16,New Recording Session,,,25048495349484952575165503 0:16:22 5:14:16,,New Recording Session,,,,24848484848515069526554553 17:6:38 5:15:16,,25048495349484952495650573 20:36:53 5:13:16,,25048495349484952565766563 23:41:48 5:12:16,,,,,,,,25048495349484952565166503 21:58:23 5:17:16
,,25048495349484953514948493 8:32:56 5:16:16,25048495349484953484851483 17:57:25 5:16:16,,,25048495349484952575165503 0:16:54 5:14:16,,25048495349484953484851483 17:25:15 5:14:16,,,,24848484848515069526554553 17:6:38 5:15:16,,25048495349484952495650573 20:36:57 5:13:16,,25048495349484952565766563 23:42:6 5:12:16,,,,,,,,25048495349484952565166503 21:58:23 5:17:16
,,25048495349484953514948493 8:32:57 5:16:16,25048495349484953484851483 17:57:26 5:16:16,,,25048495349484952575165503 0:17:12 5:14:16,,25048495349484953484851483 17:25:15 5:14:16,,,,25048495349484953515748573 0:31:30 5:16:16,,25048495349484952495650573 20:36:57 5:13:16,,25048495349484952565766563 23:42:8 5:12:16,,,,,,,,25048495349484952565166503 21:58:23 5:17:16
,,25048495349484953514948493 8:32:58 5:16:16,25048495349484953484851483 17:57:26 5:16:16,,,25048495349484952565766563 0:17:16 5:14:16,,25048495349484953484851483 17:25:16 5:14:16,,,,25048495349484953515748573 0:31:30 5:16:16,,25048495349484952495650573 20:36:57 5:13:16,,25048495349484952565766563 23:42:9 5:12:16,,,,,,,,25048495349484952565166503 21:58:26 5:17:16
,,25048495349484953514948493 8:32:59 5:16:16,25048495349484952575065513 20:15:43 5:16:16,,,25048495349484952565766563 0:17:30 5:14:16,,25048495349484953484851483 17:25:16 5:14:16,,,,25048495349484953515748573 0:31:30 5:16:16,,25048495349484952485651573 20:42:10 5:13:16,,25048495349484952565766563 23:43:2 5:12:16,,,,,,,,25048495349484952565166503 23:11:0 5:17:16
,,New Recording Session,25048495349484953515348533 20:16:55 5:16:16,,,25048495349484952575165503 0:17:41 5:14:16,,25048495349484953484851483 17:25:17 5:14:16,,,,25048495349484953515748573 0:31:31 5:16:16,,25048495349484952485651573 20:42:11 5:13:16,,25048495349484952565766563 23:43:2 5:12:16,,,,,,,,25048495349484952565166503 23:11:18 5:17:16
,,25048495349484953514948493 17:30:39 5:16:16,25048495349484952495250533 20:17:50 5:16:16,,,25048495349484952565766563 0:17:44 5:14:16,,25048495349484952575265533 23:36:32 5:14:16,,,,25048495349484953515748573 0:31:31 5:16:16,,25048495349484952485651573 20:42:11 5:13:16,,25048495349484952565766563 23:43:22 5:12:16,,,,,,,,25048495349484952565166503 23:27:36 5:17:16
,,25048495349484953514948493 17:30:40 5:16:16,25048495349484952495250533 20:17:51 5:16:16,,,25048495349484952575165503 0:17:54 5:14:16,,25048495349484952575265533 23:36:32 5:14:16,,,,25048495349484953515748573 0:31:32 5:16:16,,25048495349484952485651573 20:42:12 5:13:16,,25048495349484952565766563 23:43:23 5:12:16,,,,,,,,25048495349484952565166503 1:10:58 5:18:16
,,25048495349484952485451553 4:33:58 5:17:16,25048495349484952495250533 20:17:51 5:16:16,,,25048495349484952565766563 0:17:58 5:14:16,,25048495349484952575265533 23:38:11 5:14:16,,,,25048495349484953515748573 0:31:32 5:16:16,,25048495349484952485651573 20:42:14 5:13:16,,25048495349484952565766563 23:44:15 5:12:16,,,,,,,,25048495349484952565166503 1:10:59 5:18:16
,,25048495349484952485451553 4:33:59 5:17:16,25048495349484952495250533 20:17:51 5:16:16,,,25048495349484952575165503 0:18:6 5:14:16,,25048495349484952575265533 23:38:12 5:14:16,,,,25048495349484953515748573 0:31:32 5:16:16,,25048495349484952485651573 20:42:14 5:13:16,,25048495349484952565766563 23:44:16 5:12:16,,,,,,,,25048495349484952565166503 1:10:59 5:18:16
,,25048495349484952485451553 4:33:59 5:17:16,25048495349484952495250533 20:17:52 5:16:16,,,25048495349484952565766563 0:18:14 5:14:16,,25048495349484952575265533 23:38:12 5:14:16,,,,25048495349484952485451553 0:55:17 5:16:16,,25048495349484952485651573 20:42:26 5:13:16,,25048495349484952565766563 23:44:32 5:12:16,,,,,,,,25048495349484952565166503 1:11:15 5:18:16
,,25048495349484952485451553 4:34:0 5:17:16,25048495349484953515348533 20:18:22 5:16:16,,,25048495349484952565766563 0:18:15 5:14:16,,25048495349484952575265533 23:38:13 5:14:16,,,,25048495349484952485451553 0:55:18 5:16:16,,25048495349484952485651573 20:42:27 5:13:16,,25048495349484952565766563 23:47:30 5:12:16,,,,,,,,25048495349484952565166503 3:8:16 5:18:16
,,25048495349484953514948493 8:42:38 5:17:16,25048495349484952495550543 20:18:29 5:16:16,,,25048495349484952565766563 0:18:15 5:14:16,,25048495349484952575265533 23:38:13 5:14:16,,,,25048495349484952485451553 0:55:22 5:16:16,,25048495349484952495650573 20:42:37 5:13:16,,25048495349484952565766563 23:47:30 5:12:16,,,,,,,,25048495349484952565166503 3:8:18 5:18:16
,,25048495349484953514948493 8:42:38 5:17:16,25048495349484952495550543 20:18:56 5:16:16,,,25048495349484952565766563 0:18:34 5:14:16,,25048495349484952575265533 23:38:13 5:14:16,,,,25048495349484953515748573 3:18:35 5:16:16,,25048495349484952495650573 20:42:37 5:13:16,,25048495349484952565766563 23:47:41 5:12:16,,,,,,,,24848484848515049484950513 3:57:11 5:18:16
,,25048495349484953514948493 8:42:39 5:17:16,25048495349484953515348533 3:20:45 5:17:16,,,25048495349484952575165503 0:18:40 5:14:16,,25048495349484952575265533 23:38:14 5:14:16,,,,25048495349484953515748573 3:18:36 5:16:16,,25048495349484952495650573 20:42:38 5:13:16,,25048495349484952565766563 23:48:24 5:12:16,,,,,,,,24848484848515049484950513 3:57:12 5:18:16
,,New Recording Session,25048495349484953515348533 3:20:45 5:17:16,,,25048495349484952565766563 0:18:48 5:14:16,,25048495349484952575265533 23:38:14 5:14:16,,,,24848484848515069526554553 8:36:24 5:16:16,,25048495349484952495650573 20:42:38 5:13:16,,25048495349484952565766563 23:48:40 5:12:16,,,,,,,,24848484848515049484950513 3:57:12 5:18:16
,,25048495349484953514948493 16:36:1 5:17:16,25048495349484953515348533 3:20:46 5:17:16,,,25048495349484952565766563 0:18:48 5:14:16,,25048495349484952575265533 23:38:14 5:14:16,,,,24848484848515069526554553 8:36:24 5:16:16,,25048495349484952485651573 20:42:41 5:13:16,,25048495349484952565766563 23:48:40 5:12:16,,,,,,,,24848484848515049484950513 3:57:13 5:18:16
,,25048495349484953514948493 16:36:6 5:17:16,25048495349484953515348533 3:20:46 5:17:16,,,25048495349484952565766563 0:18:58 5:14:16,,25048495349484952575265533 23:38:16 5:14:16,,,,New Recording Session,,25048495349484952495650573 20:42:44 5:13:16,,25048495349484952565766563 23:48:41 5:12:16,,,,,,,,25048495349484953514948493 8:38:17 5:18:16
,,25048495349484953514948493 8:13:34 5:18:16,25048495349484953515348533 3:20:46 5:17:16,,,25048495349484952575165503 0:18:59 5:14:16,,25048495349484952575265533 23:38:24 5:14:16,,,,New Recording Session,,25048495349484952495650573 20:42:45 5:13:16,,25048495349484952565766563 23:49:24 5:12:16,,,,,,,,25048495349484953514948493 8:38:17 5:18:16
,,25048495349484953514948493 8:13:36 5:18:16,25048495349484953515348533 3:20:50 5:17:16,,,25048495349484952565766563 0:19:4 5:14:16,,25048495349484953484851483 8:58:30 5:15:16,,,,New Recording Session,,25048495349484952495650573 20:42:45 5:13:16,,25048495349484952565766563 23:49:24 5:12:16,,,,,,,,
,,,25048495349484953515348533 3:20:56 5:17:16,,,25048495349484952575165503 0:19:11 5:14:16,,25048495349484953484851483 8:58:30 5:15:16,,,,New Recording Session,,25048495349484952495650573 20:42:53 5:13:16,,25048495349484952565766563 23:49:46 5:12:16,,,,,,,,
,,,25048495349484952495250533 5:2:35 5:17:16,,,25048495349484952575165503 0:19:12 5:14:16,,25048495349484953484851483 8:58:31 5:15:16,,,,24848484848515069526554553 17:32:22 5:16:16,,25048495349484952495650573 20:42:54 5:13:16,,25048495349484952565766563 23:49:47 5:12:16,,,,,,,,
,,,25048495349484952575065513 5:3:32 5:17:16,,,25048495349484952575165503 0:19:15 5:14:16,,25048495349484953484851483 8:58:31 5:15:16,,,,24848484848515069526554553 17:32:22 5:16:16,,25048495349484952495650573 20:42:54 5:13:16,,25048495349484952565766563 23:49:47 5:12:16,,,,,,,,
,,,25048495349484953484851483 9:9:24 5:17:16,,,25048495349484952575165503 0:19:15 5:14:16,,New Recording Session,,,,25048495349484953515748573 22:8:16 5:16:16,,25048495349484952495650573 20:42:54 5:13:16,,25048495349484952565766563 23:49:48 5:12:16,,,,,,,,
,,,25048495349484953484851483 9:9:25 5:17:16,,,25048495349484952565766563 0:19:23 5:14:16,,25048495349484953484851483 16:59:14 5:15:16,,,,25048495349484953515748573 22:8:17 5:16:16,,25048495349484952495650573 20:42:55 5:13:16,,25048495349484952565766563 23:49:48 5:12:16,,,,,,,,
,,,25048495349484953484851483 9:9:25 5:17:16,,,25048495349484952565766563 0:19:28 5:14:16,,25048495349484953484851483 16:59:14 5:15:16,,,,25048495349484953515748573 22:8:17 5:16:16,,25048495349484952495650573 20:42:55 5:13:16,,25048495349484952565766563 23:49:48 5:12:16,,,,,,,,
,,,New Recording Session,,,25048495349484952575165503 0:19:35 5:14:16,,25048495349484953484851483 16:59:15 5:15:16,,,,25048495349484953515748573 22:8:18 5:16:16,,25048495349484952495650573 20:42:56 5:13:16,,25048495349484952565766563 23:50:30 5:12:16,,,,,,,,
,,,New Recording Session,,,25048495349484952575165503 0:19:48 5:14:16,,25048495349484952575265533 1:3:18 5:16:16,,,,25048495349484953515748573 22:8:18 5:16:16,,25048495349484952485651573 20:43:1 5:13:16,,25048495349484952565766563 23:50:31 5:12:16,,,,,,,,
,,,New Recording Session,,,25048495349484952575165503 0:19:53 5:14:16,,25048495349484952575265533 1:3:19 5:16:16,,,,25048495349484953515748573 22:8:18 5:16:16,,25048495349484952495650573 20:46:13 5:13:16,,25048495349484952565766563 23:50:50 5:12:16,,,,,,,,
,,,New Recording Session,,,25048495349484952575165503 0:20:1 5:14:16,,25048495349484952575265533 1:3:19 5:16:16,,,,25048495349484953515748573 22:8:19 5:16:16,,25048495349484952495650573 20:46:14 5:13:16,,25048495349484952565766563 23:50:51 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:20:4 5:14:16,,25048495349484952575265533 1:3:19 5:16:16,,,,25048495349484953515748573 22:8:19 5:16:16,,25048495349484952495650573 20:46:14 5:13:16,,25048495349484952565766563 23:51:15 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:20:15 5:14:16,,25048495349484952575265533 1:3:20 5:16:16,,,,25048495349484952485451553 3:8:21 5:17:16,,25048495349484952495650573 20:46:15 5:13:16,,25048495349484952565766563 23:51:52 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:20:20 5:14:16,,25048495349484952575265533 1:3:20 5:16:16,,,,25048495349484952485451553 3:8:22 5:17:16,,25048495349484952495650573 20:46:15 5:13:16,,25048495349484952565766563 23:51:53 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:20:26 5:14:16,,25048495349484952575265533 1:3:20 5:16:16,,,,25048495349484952485451553 3:8:22 5:17:16,,25048495349484952485651573 20:51:16 5:13:16,,25048495349484952565766563 23:51:54 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:20:26 5:14:16,,25048495349484952575265533 1:3:21 5:16:16,,,,25048495349484952485451553 3:8:22 5:17:16,,25048495349484952485651573 20:51:17 5:13:16,,25048495349484952565766563 23:52:14 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:20:32 5:14:16,,25048495349484952575265533 1:3:21 5:16:16,,,,25048495349484952485451553 3:8:23 5:17:16,,25048495349484952485651573 20:51:23 5:13:16,,25048495349484952565766563 23:52:31 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:20:50 5:14:16,,25048495349484952575265533 1:3:21 5:16:16,,,,25048495349484952485451553 3:8:25 5:17:16,,25048495349484952485651573 20:51:56 5:13:16,,25048495349484952565766563 23:52:31 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:20:57 5:14:16,,25048495349484952575265533 1:3:22 5:16:16,,,,25048495349484952495650573 3:51:30 5:17:16,,25048495349484952485651573 20:52:7 5:13:16,,25048495349484952565766563 23:52:47 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:21:16 5:14:16,,25048495349484952575265533 1:3:22 5:16:16,,,,24848484848515069526554553 8:44:42 5:17:16,,25048495349484952485651573 21:5:19 5:13:16,,25048495349484952565766563 23:52:57 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:21:23 5:14:16,,25048495349484952575265533 1:3:23 5:16:16,,,,24848484848515069526554553 8:44:43 5:17:16,,25048495349484952485651573 21:25:38 5:13:16,,25048495349484952565766563 23:52:58 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:21:29 5:14:16,,25048495349484952575265533 1:3:23 5:16:16,,,,24848484848515069526554553 8:44:44 5:17:16,,25048495349484952485651573 22:10:12 5:13:16,,25048495349484952565766563 23:52:58 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:21:30 5:14:16,,25048495349484953484851483 8:27:42 5:16:16,,,,24848484848515069526554553 8:44:45 5:17:16,,25048495349484952495650573 23:12:56 5:13:16,,25048495349484952565766563 23:53:9 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:21:31 5:14:16,,25048495349484953484851483 8:27:43 5:16:16,,,,New Recording Session,,25048495349484952495650573 23:12:56 5:13:16,,25048495349484952565766563 23:53:9 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:21:33 5:14:16,,24848484849484948484848483 8:27:43 5:16:16,,,,New Recording Session,,25048495349484952495650573 23:12:57 5:13:16,,25048495349484952565766563 23:53:10 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:21:43 5:14:16,,New Recording Session,,,,New Recording Session,,25048495349484952495650573 0:27:18 5:14:16,,25048495349484952565766563 23:53:22 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:21:55 5:14:16,,25048495349484953484851483 17:38:20 5:16:16,,,,New Recording Session,,25048495349484952495650573 0:27:19 5:14:16,,25048495349484952565766563 23:53:26 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:22:1 5:14:16,,25048495349484953484851483 17:38:21 5:16:16,,,,New Recording Session,,25048495349484952495650573 0:27:19 5:14:16,,25048495349484952565766563 23:53:27 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:22:14 5:14:16,,25048495349484953484851483 17:38:21 5:16:16,,,,24848484848515069526554553 16:37:25 5:17:16,,25048495349484952495650573 0:27:19 5:14:16,,25048495349484952565766563 23:53:46 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:22:14 5:14:16,,25048495349484952575265533 20:42:51 5:16:16,,,,24848484848515069526554553 16:37:25 5:17:16,,25048495349484952495650573 0:27:20 5:14:16,,25048495349484952565766563 23:54:26 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:22:20 5:14:16,,25048495349484952575265533 20:42:51 5:16:16,,,,25048495349484952485451553 1:26:4 5:18:16,,25048495349484952495650573 0:27:20 5:14:16,,25048495349484952565766563 23:54:33 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:22:23 5:14:16,,25048495349484952575265533 20:42:51 5:16:16,,,,25048495349484952485451553 1:26:4 5:18:16,,25048495349484952495650573 0:27:21 5:14:16,,25048495349484952565766563 23:54:39 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:22:43 5:14:16,,25048495349484952575265533 20:42:52 5:16:16,,,,25048495349484952485451553 1:26:4 5:18:16,,25048495349484952495650573 0:27:21 5:14:16,,25048495349484952565766563 23:54:39 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:22:47 5:14:16,,25048495349484952575265533 20:42:52 5:16:16,,,,25048495349484952485451553 1:26:5 5:18:16,,25048495349484952495650573 0:27:35 5:14:16,,25048495349484952565766563 23:54:55 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:22:52 5:14:16,,25048495349484952575265533 20:43:28 5:16:16,,,,25048495349484953515748573 1:34:3 5:18:16,,25048495349484952495650573 0:27:35 5:14:16,,25048495349484952565766563 23:55:20 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:23:5 5:14:16,,25048495349484952575265533 20:43:28 5:16:16,,,,25048495349484952565566543 3:30:19 5:18:16,,25048495349484952495650573 1:36:6 5:14:16,,25048495349484952565766563 23:56:6 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:23:14 5:14:16,,25048495349484952575265533 0:54:27 5:17:16,,,,25048495349484952565566543 3:30:20 5:18:16,,25048495349484952495650573 1:36:6 5:14:16,,25048495349484952565766563 23:56:36 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:23:26 5:14:16,,25048495349484952575265533 0:54:27 5:17:16,,,,25048495349484952565566543 3:30:20 5:18:16,,25048495349484952495650573 1:36:18 5:14:16,,25048495349484952565766563 23:56:36 5:12:16,,,,,,,,
,,,,,,25048495349484952575165503 0:23:33 5:14:16,,25048495349484952575265533 0:54:28 5:17:16,,,,25048495349484952565566543 3:30:25 5:18:16,,25048495349484952485651573 3:11:10 5:14:16,,25048495349484952565766563 23:59:53 5:12:16,,,,,,,,
,,,,,,25048495349484952565766563 0:23:53 5:14:16,,25048495349484952575265533 0:54:28 5:17:16,,,,25048495349484952565566543 3:30:25 5:18:16,,25048495349484952485651573 3:11:11 5:14:16,,25048495349484952575165503 0:3:40 5:13:16,,,,,,,,
,,,,,,25048495349484952565766563 0:24:12 5:14:16,,25048495349484952575265533 0:54:28 5:17:16,,,,25048495349484952565566543 3:30:26 5:18:16,,25048495349484953514948493 9:16:27 5:14:16,,25048495349484952575165503 0:3:58 5:13:16,,,,,,,,
,,,,,,25048495349484952565766563 0:24:19 5:14:16,,25048495349484953484851483 8:41:6 5:17:16,,,,25048495349484952565566543 3:31:4 5:18:16,,25048495349484953514948493 9:16:27 5:14:16,,25048495349484952575165503 0:3:59 5:13:16,,,,,,,,
,,,,,,25048495349484952575165503 0:24:22 5:14:16,,25048495349484953484851483 8:41:6 5:17:16,,,,24848484848515069526554553 8:25:36 5:18:16,,New Recording Session,,25048495349484952575165503 0:4:24 5:13:16,,,,,,,,
,,,,,,25048495349484952575165503 0:24:22 5:14:16,,25048495349484953484851483 8:41:7 5:17:16,,,,,,24848484848515069526554553 19:47:31 5:14:16,,25048495349484952575165503 0:4:34 5:13:16,,,,,,,,
,,,,,,25048495349484952565766563 0:24:37 5:14:16,,New Recording Session,,,,,,24848484848515069526554553 19:47:31 5:14:16,,25048495349484952575165503 0:4:57 5:13:16,,,,,,,,
,,,,,,25048495349484952565766563 0:24:42 5:14:16,,25048495349484953484851483 16:30:47 5:17:16,,,,,,25048495349484952495650573 23:26:57 5:14:16,,25048495349484952575165503 0:5:5 5:13:16,,,,,,,,
,,,,,,25048495349484952575165503 0:24:46 5:14:16,,25048495349484953484851483 16:30:47 5:17:16,,,,,,25048495349484952495650573 23:26:58 5:14:16,,25048495349484952575165503 0:5:8 5:13:16,,,,,,,,
,,,,,,25048495349484952575165503 0:24:47 5:14:16,,25048495349484953484851483 16:30:48 5:17:16,,,,,,25048495349484952495650573 23:26:58 5:14:16,,25048495349484952575165503 0:5:42 5:13:16,,,,,,,,
,,,,,,25048495349484952565766563 0:25:1 5:14:16,,25048495349484953484851483 16:30:48 5:17:16,,,,,,25048495349484952495650573 23:26:59 5:14:16,,25048495349484952575165503 0:5:50 5:13:16,,,,,,,,
,,,,,,25048495349484952575165503 0:25:8 5:14:16,,25048495349484952575265533 20:38:37 5:17:16,,,,,,25048495349484952495650573 23:27:0 5:14:16,,25048495349484952575165503 0:6:2 5:13:16,,,,,,,,
